# MALT90 Year 2 catalog from dstncs201.dat Sun Dec 11 17:56:52 2011 velocat=/mako4/d/scott/velo/socat211-rev.dat  Reid rotation model
#source          type     londeg     latdeg    vbest     vrms vcode  kdnear   kdfar   derrp   derrm   probn   probf  dcode comment
 G007.632-00.109    0   7.632023  -0.107795   154.15     0.15    12   7.517   9.332   0.062   0.063  -1.000  -1.000      0 OK
 G008.006-00.137    0   8.007100  -0.136062    40.34     0.21    30   4.783  12.051   0.255   0.290  -1.000  -1.000      0 OK
 G008.136+00.244    0   8.136239   0.244864    19.65     0.50    30   3.216  13.612   0.468   0.562  -1.000  -1.000      0 strong-abs
 G008.141+00.224    0   8.141403   0.224119    19.46     0.81    30   3.196  13.633   0.475   0.571  -1.000  -1.000      0 OK
 G008.350-00.317    0   8.350741  -0.316866    38.89     0.24    30   4.620  12.200   0.266   0.303  -1.000  -1.000      0 OK
 G008.458-00.224    0   8.459106  -0.222988    37.97     0.18    30   4.542  12.273   0.273   0.311  -1.000  -1.000      0 OK
 G008.708-00.414    0   8.709032  -0.413369    38.73     0.35    30   4.528  12.276   0.269   0.305  -1.000  -1.000      0 OK
 G008.739-00.725    0   8.739586  -0.724450    17.22     0.43    14   2.831  13.972   0.501   0.600  -1.000  -1.000      0 OK
 G008.831-00.028    0   8.831654  -0.027043     2.75     1.53    14   0.690  16.108   0.921  16.612  -1.000  -1.000      0 OK
 G008.955-00.535    0   8.955408  -0.533996    21.36     1.82    10   3.204  13.589   0.459   0.546  -1.000  -1.000      0 ratty
 G009.037-00.521    0   9.037999  -0.519979    37.57     0.65    30   4.388  12.401   0.279   0.317  -1.000  -1.000      0 OK
 G009.212-00.202    0   9.212509  -0.201172    42.42     0.12    30   4.621  12.160   0.248   0.279  -1.000  -1.000      0 strong-abs
 G009.222+00.167    0   9.222731   0.167621    16.93     0.28    30   2.706  14.074   0.497   0.592  -1.000  -1.000      0 OK
 G009.283-00.149    0   9.283247  -0.148127    41.06     0.74    30   4.533  12.244   0.259   0.291  -1.000  -1.000      0 OK
 G009.422-00.704    0   9.422835  -0.703208    19.54     0.44    30   2.937  13.834   0.455   0.537  -1.000  -1.000      0 OK
 G009.606-00.702    0   9.606496  -0.702109    25.95     0.56    30   3.470  13.292   0.376   0.435  -1.000  -1.000      0 OK
 G009.620+00.195    0   9.620122   0.195185     4.86     0.52    30   1.020  15.741   0.764   0.951  -1.000  -1.000      0 OK
 G009.796-00.707    0   9.796137  -0.706941    26.48     0.13    14   3.475  13.277   0.368   0.424  -1.000  -1.000      0 OK
 G009.826-00.727    0   9.826744  -0.726105    26.55     0.48    30   3.475  13.276   0.369   0.425  -1.000  -1.000      0 OK
 G009.862-00.101    0   9.862624  -0.100781     4.31     1.50     2   0.909  15.840   0.795  15.927  -1.000  -1.000      0 ratty
 G009.877-00.748    0   9.877173  -0.747666    28.46     0.41    30   3.611  13.137   0.350   0.401  -1.000  -1.000      0 OK
 G009.985-00.026    0   9.985924  -0.025295    49.06     0.46    30   4.792  11.950   0.220   0.243  -1.000  -1.000      0 OK
 G010.078-00.193    0  10.078685  -0.192187    27.74     2.79     6   3.519  13.219   0.402   0.470  -1.000  -1.000      0 OK
 G010.105-00.415    0  10.105846  -0.414897    11.70     0.10    14   1.956  14.780   0.573   0.686  -1.000  -1.000      0 2nd-pk-+30.6
 G010.151-00.343    0  10.151591  -0.342463     8.67     0.84    30   1.551  15.183   0.644   0.782  -1.000  -1.000      0 OK
 G010.169-00.362    0  10.169208  -0.361316    15.30     3.32    30   2.369  14.364   0.599   0.733  -1.000  -1.000      0 wide
 G010.185-00.346    0  10.185243  -0.345491    15.08     2.87    30   2.342  14.390   0.582   0.706  -1.000  -1.000      0 wide-multiple-pks
 G010.293-00.269    0  10.293613  -0.268106    27.30     1.00    14   3.445  13.281   0.364   0.418  -1.000  -1.000      0 2nd-pk-+9.7-hcop
 G010.321-00.257    0  10.321326  -0.256041    32.31     0.44    14   3.799  12.926   0.317   0.359  -1.000  -1.000      0 OK
 G010.322-00.160    0  10.322274  -0.159919    12.49     0.08    30   2.024  14.701   0.553   0.658  -1.000  -1.000      0 OK
 G010.342-00.142    0  10.342604  -0.141814    12.48     0.18    30   2.020  14.704   0.552   0.658  -1.000  -1.000      0 OK
 G010.355-00.148    0  10.355128  -0.147830    11.84     0.10    14   1.941  14.783   0.564   0.673  -1.000  -1.000      0 2nd-pk-+43.1-hcop
 G010.445-00.017    0  10.445830  -0.016624    73.76     1.33    14   5.633  11.085   0.153   0.164  -1.000  -1.000      0 OK
 G010.473+00.028    0  10.473070   0.028811    66.78     0.64    30   5.404  11.313   0.165   0.178  -1.000  -1.000      0 wide
 G010.578-00.348    0  10.578586  -0.347883    -2.88     0.13    30  17.199  17.199  16.704   1.246  -1.000  -1.000      1 OK
 G010.616-00.029    0  10.616681  -0.028516    63.55     0.13    30   5.267  11.442   0.173   0.187  -1.000  -1.000      0 OK
 G010.622-00.421    0  10.622284  -0.420331    -1.89     0.58    30  16.982  16.982  16.314   1.189  -1.000  -1.000      1 OK
 G010.624-00.383    0  10.625006  -0.382407    -3.07     0.77    30  17.235  17.235  16.766   1.268  -1.000  -1.000      1 OK
 G010.627-00.337    0  10.627499  -0.336134    -4.48     0.15    30  17.556  17.556  17.353   1.346  -1.000  -1.000      1 OK
 G010.661+00.080    0  10.661773   0.080928    20.71     0.69    14   2.832  13.875   0.429   0.497  -1.000  -1.000      0 OK
 G010.670-00.221    0  10.670741  -0.220730    28.98     0.91    14   3.503  13.203   0.347   0.395  -1.000  -1.000      0 OK
 G010.685-00.307    0  10.685888  -0.306446    -1.67     0.13    30  16.931  16.931  16.235   1.159  -1.000  -1.000      1 OK
 G010.958+00.022    0  10.958638   0.023088    21.40     0.26    30   2.847  13.843   0.414   0.478  -1.000  -1.000      0 OK
 G010.984-00.368    0  10.984476  -0.367630    -0.59     0.35    14  16.695  16.695  15.840   1.070  -1.000  -1.000      1 OK
 G010.999-00.371    0  10.999622  -0.369001    -0.81     0.20    30  16.736  16.736  15.917   1.078  -1.000  -1.000      1 OK
 G011.083-00.534    0  11.083384  -0.533293    29.15     0.59    30   3.445  13.238   0.341   0.387  -1.000  -1.000      0 OK
 G011.364+00.802    0  11.364365   0.802703    28.38     0.52    14   3.343  13.323   0.346   0.392  -1.000  -1.000      0 OK
 G011.903-00.140    0  11.903351  -0.139176    37.03     0.86    30   3.827  12.807   0.287   0.319  -1.000  -1.000      0 OK
 G011.918-00.613    0  11.918628  -0.612136    35.57     0.20    30   3.736  12.897   0.292   0.325  -1.000  -1.000      0 2nd-pk-+40.3-hcop
 G011.937-00.615    0  11.937028  -0.614597    38.94     0.99    30   3.933  12.699   0.277   0.308  -1.000  -1.000      0 OK
 G011.942-00.156    0  11.943133  -0.154883    43.15     0.16    30   4.163  12.469   0.251   0.276  -1.000  -1.000      0 OK
 G012.200-00.033    0  12.200376  -0.032482    51.27     0.36    30   4.520  12.096   0.218   0.238  -1.000  -1.000      0 OK
 G012.203-00.119    0  12.203311  -0.118652    27.68     0.51    30   3.164  13.451   0.347   0.392  -1.000  -1.000      0 OK
 G012.210-00.101    0  12.209927  -0.099871    24.01     0.22    30   2.882  13.733   0.377   0.428  -1.000  -1.000      0 OK
 G012.216-00.118    0  12.216800  -0.117376    27.52     1.14    30   3.151  13.464   0.355   0.402  -1.000  -1.000      0 wide
 G012.418+00.506    0  12.418838   0.506610    17.53     0.90    30   2.292  14.310   0.448   0.516  -1.000  -1.000      0 OK
 G012.497-00.222    0  12.497455  -0.221590    35.66     0.17    30   3.655  12.943   0.290   0.322  -1.000  -1.000      0 OK
 G012.625-00.017    0  12.626049  -0.016215    21.14     1.10    14   2.590  13.999   0.410   0.467  -1.000  -1.000      0 OK
 G012.680-00.180    0  12.680750  -0.179459    56.50     1.65    30   4.677  11.908   0.211   0.230  -1.000  -1.000      0 OK
 G012.721-00.217    0  12.721271  -0.216558    34.24     0.35    30   3.535  13.048   0.299   0.332  -1.000  -1.000      0 OK
 G012.774+00.337    0  12.774048   0.337832    18.24     0.61    30   2.316  14.263   0.432   0.494  -1.000  -1.000      0 OK
 G012.777-00.210    0  12.777398  -0.209824    35.68     0.07    30   3.616  12.963   0.290   0.321  -1.000  -1.000      0 OK
 G012.790-00.197    0  12.790383  -0.196287    35.48     0.56    30   3.602  12.977   0.292   0.325  -1.000  -1.000      0 OK
 G012.808-00.198    0  12.808320  -0.197455    34.98     0.75    30   3.568  13.009   0.297   0.330  -1.000  -1.000      0 OK
 G012.819+00.325    0  12.819887   0.325074    20.67     0.50     2   2.526  14.050   0.405   0.461  -1.000  -1.000      0 weak-hcn
 G012.831-00.209    0  12.831407  -0.207771    35.53     0.68    30   3.599  12.977   0.293   0.325  -1.000  -1.000      0 OK
 G012.853-00.226    0  12.854013  -0.224738    36.24     0.53    30   3.639  12.935   0.288   0.319  -1.000  -1.000      0 OK
 G012.879-00.287    0  12.879222  -0.286370    33.23     0.40    14   3.448  13.124   0.305   0.339  -1.000  -1.000      0 OK
 G012.889+00.491    0  12.889184   0.491507    33.72     1.33    30   3.478  13.094   0.311   0.347  -1.000  -1.000      0 OK
 G012.894-00.281    0  12.894357  -0.280543    35.67     1.45    14   3.598  12.973   0.301   0.335  -1.000  -1.000      0 wide/multiple-pks
 G012.905-00.030    0  12.905636  -0.029076    57.14     1.01    30   4.672  11.898   0.204   0.220  -1.000  -1.000      0 OK
 G012.908-00.258    0  12.908718  -0.257537    37.16     1.25    14   3.686  12.885   0.289   0.321  -1.000  -1.000      0 OK
 G012.999-00.357    0  12.999308  -0.356357    15.02     1.00    14   1.985  14.579   0.472   0.543  -1.000  -1.000      0 strong-n2hp;2nd-pk+32.6
 G013.131-00.150    0  13.131807  -0.148908    44.98     0.25    30   4.083  12.473   0.244   0.267  -1.000  -1.000      0 OK
 G013.177+00.061    0  13.176221   0.062623    49.01     0.61    30   4.275  12.278   0.229   0.250  -1.000  -1.000      0 OK
 G013.209-00.141    0  13.209432  -0.140443    52.76     1.25    30   4.443  12.108   0.221   0.240  -1.000  -1.000      0 OK
 G013.216+00.033    0  13.216333   0.033592    52.06     0.18    30   4.410  12.140   0.217   0.235  -1.000  -1.000      0 OK
 G013.243-00.084    0  13.243894  -0.083170    36.78     0.43    30   3.617  12.931   0.284   0.313  -1.000  -1.000      0 OK
 G013.275-00.333    0  13.275314  -0.331976    40.72     0.61    30   3.838  12.708   0.265   0.291  -1.000  -1.000      0 OK
 G013.657-00.599    0  13.657690  -0.597783    48.22     0.03    30   4.172  12.347   0.231   0.251  -1.000  -1.000      0 OK
 G013.873+00.281    0  13.872957   0.281831    49.21     0.28    22   4.192  12.312   0.228   0.248  -1.000  -1.000      0 OK
 G013.882-00.142    0  13.882886  -0.141254    17.17     0.97    30   2.101  14.403   0.435   0.494  -1.000  -1.000      0 OK
 G013.904-00.512    0  13.904545  -0.511476    22.94     0.21    30   2.587  13.915   0.374   0.419  -1.000  -1.000      0 OK
 G013.951-00.407    0  13.951369  -0.405141    19.74     0.09    30   2.319  14.179   0.401   0.453  -1.000  -1.000      0 OK
 G014.011-00.176    0  14.011487  -0.175240    41.41     0.27    30   3.779  12.715   0.260   0.284  -1.000  -1.000      0 OK
 G014.018-00.132    0  14.018495  -0.131311    41.52     0.72    30   3.784  12.710   0.261   0.286  -1.000  -1.000      0 OK
 G014.077-00.558    0  14.077524  -0.557782    22.63     0.24    30   2.543  13.946   0.375   0.421  -1.000  -1.000      0 OK
 G014.101+00.086    0  14.102073   0.087068     8.95     0.48    30   1.254  15.234   0.526   0.606  -1.000  -1.000      0 OK
 G014.102-00.559    0  14.103094  -0.558484    22.27     0.31    30   2.512  13.976   0.378   0.424  -1.000  -1.000      0 OK
 G014.114-00.574    0  14.115055  -0.573015    20.56     0.53    14   2.371  14.115   0.394   0.444  -1.000  -1.000      0 OK
 G014.131-00.521    0  14.131128  -0.520856    21.44     0.10    30   2.442  14.044   0.384   0.432  -1.000  -1.000      0 bad-n2hp-fit
 G014.182-00.529    0  14.182097  -0.527724    21.37     0.23    30   2.431  14.051   0.385   0.432  -1.000  -1.000      0 OK
 G014.194-00.194    0  14.194566  -0.192829    40.05     0.40    30   3.681  12.800   0.266   0.291  -1.000  -1.000      0 OK
 G014.226-00.511    0  14.228154  -0.509881    19.14     0.44    30   2.240  14.238   0.405   0.457  -1.000  -1.000      0 OK
 G014.233-00.175    0  14.232941  -0.174855    37.32     1.23    30   3.521  12.957   0.287   0.315  -1.000  -1.000      0 OK
 G014.245-00.071    0  14.245977  -0.070677    61.55     1.01    14   4.679  11.798   0.195   0.209  -1.000  -1.000      0 OK
 G014.328-00.532    0  14.327858  -0.528756    19.92     0.38    22   2.296  14.175   0.397   0.447  -1.000  -1.000      0 OK
 G014.331-00.644    0  14.331694  -0.643507    23.12     1.22    30   2.554  13.917   0.379   0.425  -1.000  -1.000      0 OK
 G014.449-00.100    0  14.449627  -0.100735    40.39     0.16    30   3.669  12.793   0.264   0.288  -1.000  -1.000      0 OK
 G014.462-00.109    0  14.462006  -0.107940    40.08     0.23    30   3.650  12.811   0.265   0.290  -1.000  -1.000      0 OK
 G014.492-00.139    0  14.492024  -0.138561    40.81     0.22    30   3.687  12.772   0.262   0.286  -1.000  -1.000      0 OK
 G014.601-00.542    0  14.601507  -0.541552    17.97     0.10    30   2.103  14.348   0.411   0.463  -1.000  -1.000      0 bad-n2hp-fit
 G014.606+00.014    0  14.604650   0.014152    27.05     1.41    30   2.817  13.634   0.350   0.391  -1.000  -1.000      0 OK
 G014.631-00.575    0  14.631333  -0.575484    18.48     0.17    30   2.145  14.304   0.406   0.457  -1.000  -1.000      0 strong-abs
 G014.632+00.308    0  14.632889   0.308265    26.22     0.37    30   2.754  13.694   0.344   0.383  -1.000  -1.000      0 OK
 G014.685-00.223    0  14.685544  -0.222444    57.69     0.10    14   4.470  11.975   0.203   0.217  -1.000  -1.000      0 2nd-pk=38.
 G014.777-00.486    0  14.777610  -0.485677    21.96     0.13    30   2.417  14.020   0.375   0.419  -1.000  -1.000      0 OK
 G014.850-00.991    0  14.850744  -0.990113    22.44     0.22    30   2.448  13.984   0.370   0.414  -1.000  -1.000      0 OK
 G014.988-00.012    0  14.988591  -0.011649    24.96     0.18    14   2.625  13.797   0.350   0.389  -1.000  -1.000      0 OK
 G284.232-00.362    0 284.232574  -0.361829    -2.31     0.10    22   0.965   3.214   0.944   1.125  -1.000  -1.000      0 OK
 G287.575-00.911    0 287.575531  -0.910099    -7.00     0.24    30   1.694   3.439   1.038   0.872  -1.000  -1.000      0 OK
 G299.608+00.174    0 299.607788   0.174159    -6.73     0.79    26   0.794   7.605   0.441   0.471  -1.000  -1.000      0 OK
 G300.340-00.212    0 300.341095  -0.211689   -37.81     0.64    30   4.294   4.294   0.000   0.000  -1.000  -1.000      3 OK
 G300.721+01.199    0 300.722076   1.199481   -43.53     0.27    30   4.342   4.342   0.000   0.000  -1.000  -1.000      3 OK
 G300.826+01.152    0 300.826935   1.152568   -43.22     0.20    30   4.356   4.356   0.000   0.000  -1.000  -1.000      3 OK
 G300.953+01.152    0 300.953125   1.151943   -42.33     0.12    30   4.372   4.372   0.000   0.000  -1.000  -1.000      3 OK
 G300.969+01.145    0 300.969879   1.145835   -42.71     0.19    30   4.374   4.374   0.000   0.000  -1.000  -1.000      3 OK
 G301.015+01.113    0 301.015533   1.113741   -42.07     0.39    30   4.380   4.380   0.000   0.000  -1.000  -1.000      3 OK
 G301.081+00.935    0 301.081207   0.934991   -39.33     0.44    30   4.388   4.388   0.000   0.000  -1.000  -1.000      3 OK
 G301.136-00.226    0 301.137085  -0.225455   -39.38     0.01    30   4.395   4.395   0.000   0.000  -1.000  -1.000      3 OK
 G301.175+01.004    0 301.175812   1.004035   -41.19     0.34    30   4.400   4.400   0.000   0.000  -1.000  -1.000      3 OK
 G301.698+01.105    0 301.698608   1.105580   -39.50     0.23    30   4.466   4.466   0.000   0.000  -1.000  -1.000      3 OK
 G301.730+01.102    0 301.730713   1.101926   -39.32     0.14    30   4.470   4.470   0.000   0.000  -1.000  -1.000      3 OK
 G301.750+00.268    0 301.750885   0.268700   -37.11     0.24    14   4.473   4.473   0.721   0.000  -1.000  -1.000      2 OK
 G302.157+00.059    0 302.157593   0.059626   -35.50     0.50    30   4.524   4.524   1.284   0.000  -1.000  -1.000      2 bad-n2hp-fit
 G303.267+01.246    0 303.267639   1.246998   -30.54     0.25    30   3.013   6.312   0.606   0.940  -1.000  -1.000      0 OK
 G304.203+01.335    0 304.203339   1.335987   -43.73     0.30    30   4.778   4.778   0.287   0.000  -1.000  -1.000      2 OK
 G304.247-00.405    0 304.247375  -0.403811   -22.69     0.31    30   2.043   7.524   0.447   0.497  -1.000  -1.000      0 OK
 G304.585+00.580    0 304.585663   0.580588   -22.64     0.03    22   2.017   7.633   0.438   0.483  -1.000  -1.000      0 OK
 G304.673+00.256    0 304.673523   0.256699   -43.90     0.80    30   4.836   4.836   0.705   0.000  -1.000  -1.000      2 poor-hcop-fit
 G304.713+00.599    0 304.713501   0.599595   -26.72     0.15    22   2.395   7.286   0.469   0.541  -1.000  -1.000      0 OK
 G304.715+01.316    0 304.715393   1.316829   -26.89     0.79    30   2.412   7.270   0.476   0.551  -1.000  -1.000      0 OK
 G304.789-00.871    0 304.789551  -0.870390   -27.12     0.23    30   2.428   7.272   0.471   0.545  -1.000  -1.000      0 OK
 G304.794+00.580    0 304.794464   0.580165   -25.14     1.00    26   2.235   7.466   0.461   0.520  -1.000  -1.000      0 ratty
 G304.870+00.605    0 304.870331   0.605270   -35.37     0.48    30   3.388   6.331   0.631   1.246  -1.000  -1.000      0 OK
 G304.900+00.575    0 304.900696   0.575262   -34.50     0.23    26   3.259   6.468   0.597   0.938  -1.000  -1.000      0 OK
 G305.095+00.250    0 305.095337   0.250736   -39.00     0.74    30   3.967   5.806   0.817   0.920  -1.000  -1.000      0 OK
 G305.137+00.068    0 305.137451   0.069026   -36.67     0.25    30   3.525   6.259   0.653   1.367  -1.000  -1.000      0 OK
 G305.173+00.220    0 305.173615   0.220256   -40.94     0.37    30   4.541   5.252   1.136   0.355  -1.000  -1.000      0 OK
 G305.194-00.006    0 305.194519  -0.005494   -33.76     1.28    30   3.111   6.687   0.572   0.800  -1.000  -1.000      0 OK
 G305.196+00.033    0 305.196350   0.034011   -36.34     0.22    30   3.461   6.338   0.633   1.439  -1.000  -1.000      0 OK
 G305.198+00.006    0 305.198517   0.006794   -32.69     0.17    30   2.981   6.818   0.533   0.695  -1.000  -1.000      0 OK
 G305.200+00.019    0 305.200592   0.019243   -34.86     1.52    30   3.252   6.548   0.607   0.940  -1.000  -1.000      0 OK
 G305.201+00.227    0 305.201416   0.227557   -38.72     0.85    30   3.867   5.933   0.771   1.033  -1.000  -1.000      0 OK
 G305.208+00.207    0 305.208527   0.207771   -41.12     0.60    30   4.605   5.197   1.184   0.296  -1.000  -1.000      0 OK
 G305.226+00.282    0 305.226532   0.282667   -39.57     0.16    30   4.043   5.763   0.835   0.860  -1.000  -1.000      0 OK
 G305.230-00.024    0 305.230652  -0.022888   -29.05     0.39    30   2.581   7.226   0.479   0.562  -1.000  -1.000      0 OK
 G305.259+00.328    0 305.259430   0.328378   -38.97     0.19    30   3.897   5.917   0.770   1.010  -1.000  -1.000      0 OK
 G305.270-00.009    0 305.270630  -0.008041   -32.33     0.41    30   2.930   6.887   0.524   0.669  -1.000  -1.000      0 OK
 G305.271+00.296    0 305.271637   0.296866   -38.20     0.28    30   3.745   6.072   0.714   1.164  -1.000  -1.000      0 OK
 G305.356+00.201    0 305.356384   0.201440   -39.13     0.30    30   3.894   5.943   0.764   1.024  -1.000  -1.000      0 OK
 G305.367+00.213    0 305.367462   0.213052   -34.39     0.14    30   3.162   6.678   0.560   0.782  -1.000  -1.000      0 OK
 G305.476-00.096    0 305.476562  -0.095325   -38.52     0.86    24   3.740   6.126   0.710   1.193  -1.000  -1.000      0 OK
 G305.538+00.340    0 305.538452   0.340258   -34.55     0.15    14   3.154   6.727   0.553   0.760  -1.000  -1.000      0 OK
 G305.553-00.011    0 305.553497  -0.010881   -36.80     0.56    30   3.450   6.435   0.618   1.118  -1.000  -1.000      0 OK
 G305.562+00.014    0 305.562439   0.014363   -39.29     0.11    30   3.854   6.033   0.736   1.089  -1.000  -1.000      0 OK
